,grade,sqft_living,pop_den_by_zip,view,zip_rank_price,lat,sqft_lot,dist_cent,has_basement,zipcode_mean_liv,price
0,7,1180,4966,0.0,1,47.5112,5650,0.002949669529086419,0,1722.62,221900.0
1,7,2570,6879,0.0,2,47.721,7242,0.008453593628808667,1,1735.34,538000.0
2,6,770,3606,0.0,2,47.7379,10000,0.00022009362880932683,0,2119.75,180000.0
3,7,1960,6425,0.0,3,47.5208,5000,0.01685531163434915,1,1699.25,604000.0
4,8,1680,2411,0.0,4,47.6168,8080,0.0015031094182832412,0,2602.99,510000.0
5,7,1715,3800,0.0,1,47.3097,6819,0.03024059058171708,0,1924.47,257500.0
6,7,1060,4441,0.0,1,47.4095,9711,0.018080495844874873,0,1746.92,291850.0
7,7,1780,5573,0.0,1,47.5123,7470,0.011927443213296585,1,1621.45,229500.0
8,7,1890,469,0.0,2,47.3684,6560,0.05130928836564955,0,2089.72,323000.0
9,8,3560,5684,0.0,3,47.6007,9796,0.0020806620498614423,1,2183.79,662500.0
10,7,1160,7018,0.0,3,47.69,6000,0.003968956786703467,1,1811.57,468000.0
11,7,1430,3606,0.0,2,47.7558,19901,0.0002687326869807157,0,2119.75,310000.0
12,7,1370,2411,0.0,4,47.6127,9680,0.002265925207757124,0,2602.99,400000.0
13,7,1810,9602,0.0,3,47.67,4850,0.007352356786703864,0,1558.64,530000.0
14,9,2950,6732,3.0,2,47.5714,5000,0.007698153739612844,1,1543.6,650000.0
15,7,1890,141,0.0,2,47.7277,14040,0.02766427479224265,0,2135.42,395000.0
16,7,1600,9905,0.0,3,47.6648,4300,0.004469056786703519,0,1638.48,485000.0
17,7,1200,4423,0.0,1,47.3089,9850,0.006652188365652961,0,1627.74,189000.0
18,7,1250,3800,0.0,1,47.3343,9774,0.021778127423822145,0,1924.47,230000.0
19,7,1620,6279,0.0,2,47.7025,4980,0.008534230470913545,1,1614.76,385000.0
20,8,2270,892,0.0,1,47.3266,6300,0.018508993628809943,0,2144.05,285000.0
21,7,1070,4741,0.0,1,47.3533,9643,0.017666925207757384,0,1956.98,252700.0
22,8,2450,4741,0.0,1,47.3739,6500,0.014820967313020293,0,1956.98,329000.0
23,6,1710,4423,0.0,1,47.3048,4697,0.004177872576176185,0,1627.74,233000.0
24,8,2450,8638,0.0,4,47.6386,2691,0.0017692936288082287,1,1859.61,937000.0
25,8,1400,6667,0.0,4,47.6221,1581,0.00023050637119098212,0,2106.13,667000.0
26,7,1520,7018,0.0,3,47.695,6380,0.005115146260387858,1,1811.57,438000.0
27,8,2570,2908,0.0,4,47.7073,7173,0.009977285318558989,0,2345.22,719000.0
28,8,2320,469,0.0,4,47.5391,3980,0.013814925207757449,0,2398.57,580500.0
29,7,1190,6279,0.0,2,47.7274,1265,0.012912256786703697,0,1614.76,280000.0
30,7,2330,7953,0.0,3,47.6823,5000,0.007863662049860703,1,1692.04,687500.0
31,8,1090,7953,0.0,3,47.6889,3000,0.009215662049860796,0,1692.04,535000.0
32,7,2060,2215,0.0,1,47.4276,6659,0.014609025207757184,1,2006.16,322500.0
33,8,2300,7018,0.0,3,47.6827,3060,0.004564819944598103,1,1811.57,696000.0
34,5,1660,2908,0.0,4,47.6621,34848,0.0036868432132962895,1,2345.22,550000.0
35,8,2360,9602,0.0,3,47.6702,6000,0.005934672576177001,0,1558.64,640000.0
36,7,1220,1717,0.0,1,47.3341,8075,0.014814422160663898,1,1876.0,240000.0
37,8,2620,4323,0.0,2,47.5301,7553,0.004838714681440016,0,1998.23,605000.0
38,9,2570,2411,0.0,4,47.6145,5520,0.002117851523546102,0,2602.99,625000.0
39,8,4220,3580,0.0,2,47.445,24186,0.020856490581716555,1,2005.81,775000.0
40,9,3595,662,0.0,4,47.6848,5639,0.01288618005540159,0,2411.52,861990.0
41,7,1570,8638,0.0,4,47.6413,2280,0.0021831357340720264,0,1859.61,685000.0
42,6,1280,2215,0.0,1,47.4485,9656,0.009886504155125094,1,2006.16,309000.0
43,8,3160,141,0.0,2,47.7443,13603,0.030339232686980414,0,2135.42,488000.0
44,6,990,4604,0.0,1,47.3066,8528,0.044542301108031465,0,1983.41,210490.0
45,9,2290,5684,0.0,3,47.6194,13416,0.00043860415512489464,0,2183.79,785000.0
46,7,1250,7018,0.0,3,47.6796,5963,0.0038275936288089023,0,1811.57,450000.0
47,7,1190,3194,0.0,1,47.4258,9199,0.0181057063711916,0,1610.53,228000.0
48,8,3150,4323,0.0,2,47.4934,9134,0.005529035734072971,1,1998.23,345000.0
49,7,1410,7953,0.0,3,47.6808,4080,0.008552977839334626,1,1692.04,600000.0
50,7,1980,7953,0.0,3,47.6989,8550,0.010211009418282565,1,1692.04,585000.0
51,8,2730,10643,0.0,4,47.6571,6000,0.001609356786703701,1,1961.75,920000.0
52,9,2830,10643,0.0,4,47.6597,5000,0.002052609418282721,0,1961.75,885000.0
53,7,2250,1537,0.0,1,47.3663,4495,0.030267346260386595,0,1963.3,292500.0
54,8,2420,1537,0.0,1,47.3663,4750,0.02819871468144038,0,1963.3,301000.0
55,8,3250,4437,4.0,3,47.588,14342,0.004243019944598424,0,2057.97,951000.0
